grad_norm,loss,loss_q1,mse,mse_q1,samples,step,loss_q0,loss_q2,mse_q0,mse_q2,loss_q3,mse_q3
2.587500417384368,0.996016263961792,0.996016263961792,0.996016263961792,0.996016263961792,1,0,,,,,,
2.3263332970120416,0.9586945056915283,0.9470973968505859,0.9586945056915283,0.9470973968505859,11,10,0.9595508972803752,0.986402690410614,0.9595508972803752,0.986402690410614,,
2.3786481988184507,0.8710080862045289,0.8308016359806061,0.8710080862045289,0.8308016359806061,21,20,0.8959711641073227,0.8804929852485657,0.8959711641073227,0.8804929852485657,0.8518034815788269,0.8518034815788269
2.302860702949281,0.770035344362259,0.7793826758861542,0.770035344362259,0.7793826758861542,31,30,0.7360534071922302,0.7796222269535065,0.7360534071922302,0.7796222269535065,0.7282804250717163,0.7282804250717163
2.346893195964837,0.6910777926445008,0.6530056595802307,0.6910777926445008,0.6530056595802307,41,40,0.7348164518674215,0.7200428247451782,0.7348164518674215,0.7200428247451782,0.6757562557856241,0.6757562557856241
2.001729713330913,0.5868752598762512,0.6103076338768005,0.5868752598762512,0.6103076338768005,51,50,,0.5751073161760967,,0.5751073161760967,0.5781269371509552,0.5781269371509552
2.3271956397444,0.5282974720001221,0.4845535606145859,0.5282974720001221,0.4845535606145859,61,60,0.6297904551029205,0.49895839889844257,0.6297904551029205,0.49895839889844257,0.51913716395696,0.51913716395696
2.7790315622856627,0.4965217709541321,0.4374212324619293,0.4965217709541321,0.4374212324619293,71,70,0.5630177199840546,0.4250955482323965,0.5630177199840546,0.4250955482323965,,
1.9194574401097102,0.39280914366245273,0.370843768119812,0.39280914366245273,0.370843768119812,81,80,0.4451106786727905,0.38035762310028076,0.4451106786727905,0.38035762310028076,0.3873760253190994,0.3873760253190994
1.858159237702822,0.384976303577423,0.31592055161794025,0.384976303577423,0.31592055161794025,91,90,0.6401363015174866,0.3250138461589813,0.6401363015174866,0.3250138461589813,0.3233436197042465,0.3233436197042465
1.8357761768490475,0.30142325460910796,0.26588675379753113,0.30142325460910796,0.26588675379753113,101,100,0.36316681901613873,,0.36316681901613873,,0.28176795691251755,0.28176795691251755
1.9517792349804854,0.2625401735305786,0.235157052675883,0.2625401735305786,0.235157052675883,111,110,0.3249886482954025,0.23422610263029736,0.3249886482954025,0.23422610263029736,0.2422863245010376,0.2422863245010376
